COLDETKEY,ST_VEH_TYPE_DESC
215912,Truck/SUV
214798,Truck/SUV
219831,Passenger Vehicle
215912,Passenger Vehicle
214798,Passenger Vehicle
219831,Truck/SUV
218456,Passenger Vehicle
220312,Two-Wheeled
220145,Passenger Vehicle
216199,Truck/SUV
215028,Truck/SUV
219647,Passenger Vehicle
220145,Passenger Vehicle
216199,Truck/SUV
215028,Passenger Vehicle
219647,Passenger Vehicle
216199,Passenger Vehicle
213704,Passenger Vehicle
219647,Passenger Vehicle
214137,Passenger Vehicle
217090,Passenger Vehicle
219647,Passenger Vehicle
213704,Commercial Trucks
214137,Truck/SUV
217090,Passenger Vehicle
219147,Passenger Vehicle
213718,Passenger Vehicle
215854,Passenger Vehicle
216025,Passenger Vehicle
219147,Not Stated
215854,Commercial Trucks
216025,Truck/SUV
218285,Passenger Vehicle
214457,Passenger Vehicle
219624,Other
218285,Truck/SUV
213718,Passenger Vehicle
214457,Passenger Vehicle
219624,Passenger Vehicle
216020,Truck/SUV
213405,Passenger Vehicle
216638,Passenger Vehicle
215752,Passenger Vehicle
216020,Passenger Vehicle
216638,Commercial Trucks
215752,Passenger Vehicle
213984,Passenger Vehicle
217587,Passenger Vehicle
214240,Truck/SUV
213984,Truck/SUV
213405,Truck/SUV
217587,Not Stated
214240,Truck/SUV
215243,Passenger Vehicle
213979,Passenger Vehicle
220148,Passenger Vehicle
215904,Truck/SUV
215243,Not Stated
220148,Passenger Vehicle
215904,Truck/SUV
213628,Passenger Vehicle
216245,Truck/SUV
220148,Passenger Vehicle
213628,Passenger Vehicle
216010,Passenger Vehicle
215439,Passenger Vehicle
218798,Passenger Vehicle
214171,Not Stated
216010,Passenger Vehicle
215439,Passenger Vehicle
216442,Commercial Trucks
214171,Passenger Vehicle
213637,Truck/SUV
216442,Passenger Vehicle
214778,Truck/SUV
216446,Passenger Vehicle
213637,Passenger Vehicle
214778,Truck/SUV
217746,Passenger Vehicle
216446,Passenger Vehicle
220154,Passenger Vehicle
213625,Commercial Trucks
217746,Passenger Vehicle
215241,Passenger Vehicle
220154,Passenger Vehicle
220310,Not Stated
213625,Not Stated
215464,Passenger Vehicle
215241,Passenger Vehicle
217585,Passenger Vehicle
215758,Passenger Vehicle
215464,Passenger Vehicle
213977,Truck/SUV
217585,Passenger Vehicle
215758,Passenger Vehicle
216861,Truck/SUV
213583,Passenger Vehicle
217758,Truck/SUV
216861,Passenger Vehicle
213583,Truck/SUV
217758,Passenger Vehicle
213583,Passenger Vehicle
214458,Passenger Vehicle
217346,Buses
216218,Passenger Vehicle
215066,Passenger Vehicle
214458,Truck/SUV
217346,Not Stated
215066,Passenger Vehicle
215907,Truck/SUV
216223,Other
216223,Not Stated
214021,Passenger Vehicle
215907,Passenger Vehicle
214021,Passenger Vehicle
218802,Commercial Trucks
214804,Truck/SUV
214777,Passenger Vehicle
214813,Passenger Vehicle
218802,Passenger Vehicle
214804,Passenger Vehicle
214777,Not Stated
218299,Truck/SUV
214813,Passenger Vehicle
220143,Not Stated
218299,Passenger Vehicle
216196,Buses
220143,Truck/SUV
218299,Not Stated
220188,Passenger Vehicle
218453,Passenger Vehicle
216196,Passenger Vehicle
215254,Truck/SUV
220188,Passenger Vehicle
218453,Truck/SUV
213854,Truck/SUV
215254,Truck/SUV
216078,Passenger Vehicle
216078,Not Stated
215020,Commercial Trucks
213854,Passenger Vehicle
216681,Passenger Vehicle
219439,Truck/SUV
219782,Two-Wheeled
215020,Buses
215024,Passenger Vehicle
219439,Passenger Vehicle
219782,Passenger Vehicle
214361,Passenger Vehicle
215024,Truck/SUV
219450,Passenger Vehicle
214361,Passenger Vehicle
217539,Truck/SUV
215445,Truck/SUV
214837,Passenger Vehicle
219450,Passenger Vehicle
217539,Passenger Vehicle
215445,Passenger Vehicle
214837,Passenger Vehicle
215246,Commercial Trucks
213830,Truck/SUV
215448,Passenger Vehicle
214825,Passenger Vehicle
215246,Truck/SUV
215448,Truck/SUV
214825,Passenger Vehicle
214368,Truck/SUV
214400,Truck/SUV
213830,Passenger Vehicle
214805,Passenger Vehicle
214368,Truck/SUV
214400,Passenger Vehicle
216026,Truck/SUV
214805,Truck/SUV
216471,Truck/SUV
215742,Passenger Vehicle
216026,Truck/SUV
216471,Truck/SUV
215742,Not Stated
216383,Truck/SUV
214805,Truck/SUV
219821,Truck/SUV
216383,Truck/SUV
213321,Truck/SUV
219821,Passenger Vehicle
216383,Truck/SUV
213321,Truck/SUV
215042,Passenger Vehicle
216469,Passenger Vehicle
216469,Passenger Vehicle
219146,Truck/SUV
219146,Passenger Vehicle
214500,Passenger Vehicle
214500,Passenger Vehicle
216009,Truck/SUV
217602,Truck/SUV
217602,Passenger Vehicle
217602,Truck/SUV
216050,Passenger Vehicle
216050,Passenger Vehicle
216197,Truck/SUV
213598,Passenger Vehicle
213598,Passenger Vehicle
220178,Passenger Vehicle
220178,Passenger Vehicle
216038,Passenger Vehicle
216038,Passenger Vehicle
213260,Passenger Vehicle
213260,Truck/SUV
216227,Passenger Vehicle
216227,Truck/SUV
214823,Passenger Vehicle
214823,Passenger Vehicle
214174,Passenger Vehicle
214174,Passenger Vehicle
214174,Passenger Vehicle
216197,Passenger Vehicle
213582,Passenger Vehicle
213582,Truck/SUV
214787,Truck/SUV
214787,Passenger Vehicle
216604,Passenger Vehicle
216604,Not Stated
215259,Truck/SUV
215259,Passenger Vehicle
213456,Truck/SUV
213456,Not Stated
217757,Truck/SUV
217757,Not Stated
213861,Passenger Vehicle
219973,Passenger Vehicle
219973,Truck/SUV
216464,Passenger Vehicle
216464,Truck/SUV
216192,Truck/SUV
216192,Truck/SUV
216192,Truck/SUV
215224,Truck/SUV
215224,Passenger Vehicle
218789,Passenger Vehicle
218789,Not Stated
215853,Passenger Vehicle
215853,Not Stated
214018,Truck/SUV
213861,Not Stated
213277,Truck/SUV
213277,Passenger Vehicle
219447,Passenger Vehicle
219447,Truck/SUV
214840,Passenger Vehicle
214840,Passenger Vehicle
217050,Passenger Vehicle
217050,Truck/SUV
218452,Passenger Vehicle
218318,Commercial Trucks
218318,Passenger Vehicle
214364,Passenger Vehicle
214364,Passenger Vehicle
217771,Passenger Vehicle
214018,Passenger Vehicle
219445,Truck/SUV
219445,Passenger Vehicle
217382,Two-Wheeled
217771,Truck/SUV
216016,Truck/SUV
216016,Passenger Vehicle
216016,Passenger Vehicle
220343,Passenger Vehicle
220343,Passenger Vehicle
219142,Passenger Vehicle
219142,Passenger Vehicle
216008,Passenger Vehicle
219218,Buses
217619,Passenger Vehicle
217347,Passenger Vehicle
218352,Truck/SUV
218352,Not Stated
217870,Truck/SUV
217870,Passenger Vehicle
219704,Truck/SUV
219704,Passenger Vehicle
217403,Passenger Vehicle
217403,Passenger Vehicle
222250,Truck/SUV
221174,Two-Wheeled
222250,Truck/SUV
222250,Truck/SUV
222250,Passenger Vehicle
216814,Truck/SUV
216814,Truck/SUV
221507,Passenger Vehicle
221507,Truck/SUV
221507,Truck/SUV
216826,Truck/SUV
216826,Passenger Vehicle
220235,Not Stated
218368,Passenger Vehicle
218368,Passenger Vehicle
222937,Passenger Vehicle
217617,Passenger Vehicle
217617,Passenger Vehicle
217844,Passenger Vehicle
217844,Passenger Vehicle
217318,Passenger Vehicle
217318,Passenger Vehicle
219159,Passenger Vehicle
219159,Passenger Vehicle
217961,Truck/SUV
217961,Truck/SUV
216799,Truck/SUV
216799,Passenger Vehicle
218410,Passenger Vehicle
218410,Passenger Vehicle
221707,Passenger Vehicle
221707,Passenger Vehicle
218899,Passenger Vehicle
218899,Truck/SUV
217940,Passenger Vehicle
217940,Passenger Vehicle
217940,Passenger Vehicle
218688,Truck/SUV
218688,Truck/SUV
216786,Passenger Vehicle
216786,Passenger Vehicle
221700,Truck/SUV
221700,Truck/SUV
218379,Truck/SUV
218379,Truck/SUV
218379,Passenger Vehicle
218379,Truck/SUV
217866,Truck/SUV
219533,Passenger Vehicle
219533,Truck/SUV
220479,Passenger Vehicle
220479,Passenger Vehicle
220278,Commercial Trucks
220278,Truck/SUV
222922,Passenger Vehicle
218394,Truck/SUV
217212,Passenger Vehicle
222408,Passenger Vehicle
222408,Not Stated
221714,Passenger Vehicle
217658,Passenger Vehicle
217658,Truck/SUV
219067,Passenger Vehicle
219067,Truck/SUV
217023,Passenger Vehicle
217023,Passenger Vehicle
217023,Not Stated
219941,Truck/SUV
219941,Truck/SUV
219679,Truck/SUV
219679,Not Stated
223137,Passenger Vehicle
223137,Passenger Vehicle
221729,Passenger Vehicle
221729,Passenger Vehicle
222960,Passenger Vehicle
222960,Not Stated
217738,Truck/SUV
217738,Buses
217670,Commercial Trucks
219936,Passenger Vehicle
219936,Passenger Vehicle
221720,Passenger Vehicle
221720,Truck/SUV
220489,Truck/SUV
220489,Passenger Vehicle
220489,Passenger Vehicle
220489,Not Stated
222941,Passenger Vehicle
222941,Passenger Vehicle
216749,Truck/SUV
216749,Passenger Vehicle
219483,Passenger Vehicle
219483,Not Stated
222251,Passenger Vehicle
222251,Passenger Vehicle
217022,Passenger Vehicle
217022,Not Stated
217841,Truck/SUV
217401,Truck/SUV
217401,Passenger Vehicle
222397,Passenger Vehicle
222397,Truck/SUV
221527,Truck/SUV
221527,Not Stated
217728,Passenger Vehicle
217728,Passenger Vehicle
217445,Passenger Vehicle
217445,Truck/SUV
218534,Passenger Vehicle
218534,Passenger Vehicle
216988,Passenger Vehicle
216988,Passenger Vehicle
218380,Passenger Vehicle
218380,Passenger Vehicle
220487,Truck/SUV
220487,Passenger Vehicle
221381,Commercial Trucks
221381,Passenger Vehicle
217477,Two-Wheeled
217792,Truck/SUV
217792,Not Stated
218393,Truck/SUV
218393,Passenger Vehicle
222760,Passenger Vehicle
222760,Passenger Vehicle
216928,Not Stated
221847,Truck/SUV
221847,Not Stated
218682,Not Stated
218682,Passenger Vehicle
218098,Passenger Vehicle
218098,Truck/SUV
216950,Truck/SUV
217941,Passenger Vehicle
217941,Passenger Vehicle
221837,Two-Wheeled
221837,Truck/SUV
218557,Truck/SUV
218557,Truck/SUV
222936,Passenger Vehicle
222936,Passenger Vehicle
217328,Passenger Vehicle
217328,Not Stated
219667,Passenger Vehicle
220938,Passenger Vehicle
220938,Passenger Vehicle
218017,Passenger Vehicle
218017,Commercial Trucks
218390,Passenger Vehicle
218390,Passenger Vehicle
218390,Passenger Vehicle
217452,Passenger Vehicle
220297,Passenger Vehicle
220297,Passenger Vehicle
217729,Commercial Trucks
217729,Passenger Vehicle
218499,Buses
218531,Truck/SUV
218531,Truck/SUV
217178,Truck/SUV
217178,Truck/SUV
221393,Truck/SUV
221393,Passenger Vehicle
221393,Passenger Vehicle
221393,Truck/SUV
223597,Passenger Vehicle
223184,Truck/SUV
223184,Truck/SUV
222771,Truck/SUV
222771,Passenger Vehicle
218163,Commercial Trucks
218163,Passenger Vehicle
222402,Truck/SUV
222402,Passenger Vehicle
221718,Truck/SUV
217997,Passenger Vehicle
217997,Truck/SUV
216949,Truck/SUV
216949,Two-Wheeled
216949,Passenger Vehicle
218683,Passenger Vehicle
218683,Truck/SUV
221500,Passenger Vehicle
221500,Buses
221396,Passenger Vehicle
221396,Truck/SUV
223400,Buses
223400,Passenger Vehicle
217319,Passenger Vehicle
217319,Two-Wheeled
220210,Truck/SUV
220210,Not Stated
219228,Truck/SUV
219228,Passenger Vehicle
219228,Passenger Vehicle
221709,Truck/SUV
221709,Passenger Vehicle
218990,Truck/SUV
218990,Passenger Vehicle
218403,Truck/SUV
221518,Passenger Vehicle
221518,Truck/SUV
217674,Passenger Vehicle
217674,Not Stated
222230,Passenger Vehicle
222230,Not Stated
222782,Passenger Vehicle
222782,Passenger Vehicle
217826,Passenger Vehicle
217826,Passenger Vehicle
217479,Not Stated
217479,Truck/SUV
217479,Passenger Vehicle
220912,Passenger Vehicle
220912,Commercial Trucks
217518,Truck/SUV
217518,Passenger Vehicle
219457,Passenger Vehicle
219457,Passenger Vehicle
221712,Passenger Vehicle
221712,Truck/SUV
219712,Truck/SUV
219712,Truck/SUV
218353,Passenger Vehicle
218353,Truck/SUV
221917,Passenger Vehicle
221917,Not Stated
222751,Passenger Vehicle
222751,Passenger Vehicle
216756,Passenger Vehicle
216756,Truck/SUV
219680,Passenger Vehicle
216792,Truck/SUV
219663,Passenger Vehicle
219663,Passenger Vehicle
220504,Passenger Vehicle
220504,Passenger Vehicle
217026,Passenger Vehicle
217026,Truck/SUV
223160,Truck/SUV
221859,Passenger Vehicle
221859,Truck/SUV
218530,Passenger Vehicle
218530,Truck/SUV
222781,Passenger Vehicle
222781,Truck/SUV
218097,Truck/SUV
218097,Passenger Vehicle
223407,Passenger Vehicle
223407,Truck/SUV
222603,Passenger Vehicle
222603,Not Stated
223166,Passenger Vehicle
223166,Passenger Vehicle
217203,Not Stated
217203,Passenger Vehicle
222639,Passenger Vehicle
222639,Passenger Vehicle
218678,Truck/SUV
218678,Passenger Vehicle
217861,Passenger Vehicle
217861,Passenger Vehicle
219834,Passenger Vehicle
219834,Passenger Vehicle
218992,Passenger Vehicle
218992,Passenger Vehicle
219721,Truck/SUV
219721,Passenger Vehicle
219721,Two-Wheeled
216811,Truck/SUV
216811,Passenger Vehicle
217613,Passenger Vehicle
217613,Passenger Vehicle
219239,Passenger Vehicle
217837,Passenger Vehicle
217837,Truck/SUV
217837,Truck/SUV
222398,Truck/SUV
222398,Passenger Vehicle
217828,Not Stated
218529,Passenger Vehicle
218529,Passenger Vehicle
219225,Truck/SUV
219225,Passenger Vehicle
223128,Passenger Vehicle
223128,Truck/SUV
217632,Truck/SUV
217632,Passenger Vehicle
220930,Truck/SUV
220930,Truck/SUV
219171,Truck/SUV
219171,Not Stated
221724,Truck/SUV
221724,Buses
220723,Truck/SUV
220723,Not Stated
219760,Truck/SUV
219760,Passenger Vehicle
218621,Passenger Vehicle
218621,Truck/SUV
223167,Passenger Vehicle
223167,Passenger Vehicle
219682,Commercial Trucks
222943,Passenger Vehicle
219226,Truck/SUV
219226,Passenger Vehicle
219226,Passenger Vehicle
222396,Passenger Vehicle
219932,Truck/SUV
219932,Passenger Vehicle
218672,Passenger Vehicle
218672,Passenger Vehicle
219072,Passenger Vehicle
219072,Passenger Vehicle
219655,Passenger Vehicle
219655,Truck/SUV
218340,Passenger Vehicle
218340,Not Stated
216795,Passenger Vehicle
216795,Truck/SUV
217517,Passenger Vehicle
217517,Truck/SUV
222263,Truck/SUV
222263,Not Stated
217002,Truck/SUV
217002,Passenger Vehicle
222253,Not Stated
221845,Truck/SUV
221845,Truck/SUV
216822,Passenger Vehicle
216822,Not Stated
219227,Passenger Vehicle
219227,Truck/SUV
217330,Truck/SUV
217330,Truck/SUV
221900,Passenger Vehicle
221900,Truck/SUV
219720,Commercial Trucks
219720,Passenger Vehicle
221525,Passenger Vehicle
221525,Passenger Vehicle
220482,Passenger Vehicle
220482,Not Stated
217796,Truck/SUV
221857,Passenger Vehicle
221857,Not Stated
222421,Truck/SUV
222421,Passenger Vehicle
222421,Truck/SUV
217264,Truck/SUV
217264,Truck/SUV
222641,Passenger Vehicle
222641,Truck/SUV
216806,Passenger Vehicle
216806,Passenger Vehicle
217224,Passenger Vehicle
217224,Passenger Vehicle
217267,Truck/SUV
219158,Passenger Vehicle
219158,Truck/SUV
217849,Passenger Vehicle
217849,Truck/SUV
222926,Truck/SUV
219277,Truck/SUV
219277,Other
216757,Passenger Vehicle
216757,Truck/SUV
218986,Passenger Vehicle
218986,Passenger Vehicle
217448,Truck/SUV
217448,Passenger Vehicle
220272,Passenger Vehicle
218339,Passenger Vehicle
218339,Not Stated
218953,Truck/SUV
222597,Passenger Vehicle
222597,Truck/SUV
217427,Passenger Vehicle
217427,Truck/SUV
217427,Passenger Vehicle
218955,Truck/SUV
218955,Passenger Vehicle
219671,Passenger Vehicle
219671,Passenger Vehicle
223129,Truck/SUV
223129,Passenger Vehicle
223129,Truck/SUV
216987,Passenger Vehicle
216987,Passenger Vehicle
217648,Other
217648,Truck/SUV
219763,Truck/SUV
218499,Passenger Vehicle
213993,Truck/SUV
218444,Truck/SUV
221174,Passenger Vehicle
220922,Truck/SUV
216999,Passenger Vehicle
216999,Truck/SUV
218372,Passenger Vehicle
218372,Passenger Vehicle
216997,Truck/SUV
220491,Passenger Vehicle
220491,Passenger Vehicle
222267,Passenger Vehicle
222267,Truck/SUV
223337,Passenger Vehicle
223337,Passenger Vehicle
221865,Truck/SUV
221865,Passenger Vehicle
216447,Truck/SUV
213993,Passenger Vehicle
218382,Passenger Vehicle
218382,Truck/SUV
218382,Passenger Vehicle
217397,Passenger Vehicle
217397,Passenger Vehicle
221728,Two-Wheeled
221728,Truck/SUV
216841,Not Stated
216841,Truck/SUV
219077,Passenger Vehicle
219077,Passenger Vehicle
218687,Truck/SUV
218687,Passenger Vehicle
220492,Truck/SUV
220492,Truck/SUV
220291,Truck/SUV
220291,Truck/SUV
217446,Passenger Vehicle
217446,Passenger Vehicle
217021,Truck/SUV
217021,Truck/SUV
221501,Two-Wheeled
221501,Not Stated
217881,Passenger Vehicle
217881,Truck/SUV
219478,Passenger Vehicle
219478,Passenger Vehicle
216782,Not Stated
219204,Passenger Vehicle
222259,Truck/SUV
222259,Not Stated
217118,Passenger Vehicle
217118,Truck/SUV
219703,Truck/SUV
219703,Passenger Vehicle
217794,Passenger Vehicle
217794,Passenger Vehicle
223176,Passenger Vehicle
223176,Not Stated
223157,Truck/SUV
223157,Passenger Vehicle
222270,Commercial Trucks
222270,Truck/SUV
221382,Passenger Vehicle
221382,Truck/SUV
219482,Truck/SUV
219482,Passenger Vehicle
219482,Passenger Vehicle
219482,Truck/SUV
219482,Commercial Trucks
219482,Commercial Trucks
218406,Truck/SUV
218406,Truck/SUV
219058,Passenger Vehicle
219058,Passenger Vehicle
218439,Truck/SUV
218439,Truck/SUV
217400,Passenger Vehicle
217400,Not Stated
223127,Passenger Vehicle
219209,Passenger Vehicle
219209,Passenger Vehicle
222778,Truck/SUV
222778,Passenger Vehicle
217243,Passenger Vehicle
217243,Passenger Vehicle
217724,Truck/SUV
217724,Passenger Vehicle
222596,Truck/SUV
222596,Commercial Trucks
219528,Truck/SUV
217635,Two-Wheeled
217795,Passenger Vehicle
217795,Truck/SUV
217795,Passenger Vehicle
217860,Passenger Vehicle
217860,Passenger Vehicle
218361,Passenger Vehicle
219170,Passenger Vehicle
219471,Passenger Vehicle
221388,Passenger Vehicle
217317,Truck/SUV
217317,Passenger Vehicle
220042,Passenger Vehicle
219717,Truck/SUV
219717,Passenger Vehicle
218908,Passenger Vehicle
217733,Truck/SUV
217733,Truck/SUV
222756,Truck/SUV
222756,Not Stated
219714,Passenger Vehicle
219714,Passenger Vehicle
221391,Not Stated
216840,Passenger Vehicle
216840,Truck/SUV
223182,Truck/SUV
223182,Passenger Vehicle
223182,Truck/SUV
221869,Truck/SUV
221869,Passenger Vehicle
217938,Truck/SUV
217938,Truck/SUV
223159,Truck/SUV
223159,Truck/SUV
219672,Passenger Vehicle
219672,Passenger Vehicle
223438,Passenger Vehicle
223438,Passenger Vehicle
223438,Passenger Vehicle
217423,Passenger Vehicle
217423,Truck/SUV
217614,Passenger Vehicle
217614,Passenger Vehicle
217871,Passenger Vehicle
217871,Truck/SUV
217888,Passenger Vehicle
217888,Not Stated
218991,Passenger Vehicle
218991,Commercial Trucks
217835,Truck/SUV
217835,Truck/SUV
217835,Passenger Vehicle
219728,Truck/SUV
219728,Truck/SUV
219728,Passenger Vehicle
219728,Passenger Vehicle
221504,Truck/SUV
221504,Passenger Vehicle
219248,Truck/SUV
219248,Passenger Vehicle
217863,Truck/SUV
217863,Passenger Vehicle
217654,Truck/SUV
217654,Truck/SUV
217654,Not Stated
216827,Passenger Vehicle
216827,Passenger Vehicle
220947,Passenger Vehicle
220947,Passenger Vehicle
220279,Passenger Vehicle
220279,Passenger Vehicle
216790,Passenger Vehicle
216790,Passenger Vehicle
219211,Commercial Trucks
216747,Passenger Vehicle
216747,Not Stated
221843,Truck/SUV
221843,Truck/SUV
222970,Two-Wheeled
222970,Truck/SUV
220934,Passenger Vehicle
220934,Truck/SUV
218356,Passenger Vehicle
218356,Truck/SUV
220913,Passenger Vehicle
220913,Commercial Trucks
222638,Passenger Vehicle
222638,Passenger Vehicle
219718,Passenger Vehicle
219718,Passenger Vehicle
219222,Truck/SUV
219222,Truck/SUV
222598,Passenger Vehicle
222598,Truck/SUV
218661,Truck/SUV
218661,Passenger Vehicle
218344,Passenger Vehicle
223411,Passenger Vehicle
223411,Passenger Vehicle
220009,Truck/SUV
220009,Passenger Vehicle
222604,Passenger Vehicle
222604,Truck/SUV
222604,Truck/SUV
222604,Passenger Vehicle
218537,Passenger Vehicle
217823,Passenger Vehicle
218377,Passenger Vehicle
218377,Passenger Vehicle
216923,Passenger Vehicle
216923,Passenger Vehicle
216979,Truck/SUV
216979,Passenger Vehicle
219082,Truck/SUV
219082,Passenger Vehicle
216839,Passenger Vehicle
216839,Passenger Vehicle
216839,Truck/SUV
216797,Buses
216797,Passenger Vehicle
222759,Passenger Vehicle
222759,Truck/SUV
223437,Passenger Vehicle
222246,Buses
222246,Commercial Trucks
219167,Passenger Vehicle
219167,Passenger Vehicle
217399,Passenger Vehicle
217399,Not Stated
222938,Truck/SUV
222938,Passenger Vehicle
218391,Truck/SUV
218391,Truck/SUV
218391,Truck/SUV
222969,Passenger Vehicle
220715,Passenger Vehicle
220715,Truck/SUV
223595,Truck/SUV
223595,Truck/SUV
217012,Buses
217012,Passenger Vehicle
221705,Truck/SUV
221705,Passenger Vehicle
222754,Commercial Trucks
220190,Passenger Vehicle
220190,Truck/SUV
220300,Passenger Vehicle
220300,Truck/SUV
220300,Passenger Vehicle
217207,Passenger Vehicle
217207,Passenger Vehicle
218938,Truck/SUV
218938,Passenger Vehicle
220299,Truck/SUV
221702,Passenger Vehicle
217000,Truck/SUV
217000,Truck/SUV
217000,Truck/SUV
217846,Passenger Vehicle
217846,Truck/SUV
217846,Passenger Vehicle
217846,Passenger Vehicle
218367,Truck/SUV
221528,Passenger Vehicle
216978,Passenger Vehicle
216978,Passenger Vehicle
218987,Passenger Vehicle
218987,Truck/SUV
220929,Truck/SUV
220929,Passenger Vehicle
217260,Passenger Vehicle
217260,Passenger Vehicle
217260,Truck/SUV
217386,Truck/SUV
217386,Not Stated
217793,Passenger Vehicle
217793,Two-Wheeled
217793,Truck/SUV
217793,Passenger Vehicle
217818,Truck/SUV
217884,Passenger Vehicle
220716,Passenger Vehicle
220716,Truck/SUV
217959,Truck/SUV
217959,Passenger Vehicle
222971,Truck/SUV
222971,Not Stated
217101,Truck/SUV
217101,Passenger Vehicle
217886,Passenger Vehicle
217886,Truck/SUV
222415,Passenger Vehicle
222415,Not Stated
217624,Passenger Vehicle
217624,Truck/SUV
217636,Passenger Vehicle
217636,Passenger Vehicle
217890,Commercial Trucks
217890,Commercial Trucks
222607,Truck/SUV
221182,Passenger Vehicle
221182,Passenger Vehicle
220761,Truck/SUV
218200,Passenger Vehicle
218200,Passenger Vehicle
216924,Passenger Vehicle
216924,Passenger Vehicle
218350,Passenger Vehicle
217428,Truck/SUV
217250,Truck/SUV
217250,Truck/SUV
217250,Truck/SUV
217117,Passenger Vehicle
217117,Truck/SUV
216819,Truck/SUV
216819,Passenger Vehicle
218438,Passenger Vehicle
218438,Truck/SUV
222242,Passenger Vehicle
222242,Passenger Vehicle
221172,Passenger Vehicle
221172,Truck/SUV
221730,Two-Wheeled
221730,Truck/SUV
219660,Truck/SUV
219660,Passenger Vehicle
220204,Truck/SUV
220204,Truck/SUV
219933,Truck/SUV
219933,Passenger Vehicle
222942,Passenger Vehicle
219242,Passenger Vehicle
219242,Truck/SUV
217979,Passenger Vehicle
220298,Commercial Trucks
220298,Passenger Vehicle
223174,Buses
223174,Passenger Vehicle
220946,Commercial Trucks
220946,Passenger Vehicle
219224,Two-Wheeled
219224,Passenger Vehicle
219165,Passenger Vehicle
219165,Passenger Vehicle
219173,Passenger Vehicle
219173,Truck/SUV
219173,Passenger Vehicle
217639,Passenger Vehicle
217639,Truck/SUV
223404,Truck/SUV
223404,Passenger Vehicle
218988,Passenger Vehicle
218988,Truck/SUV
217618,Passenger Vehicle
217618,Truck/SUV
219930,Truck/SUV
219930,Truck/SUV
219847,Truck/SUV
219847,Truck/SUV
216951,Passenger Vehicle
216951,Not Stated
221521,Truck/SUV
221521,Truck/SUV
221726,Passenger Vehicle
221726,Passenger Vehicle
219730,Passenger Vehicle
218399,Passenger Vehicle
218399,Truck/SUV
219861,Truck/SUV
219861,Passenger Vehicle
219477,Passenger Vehicle
219477,Passenger Vehicle
223168,Passenger Vehicle
223168,Commercial Trucks
223163,Truck/SUV
223163,Passenger Vehicle
217405,Passenger Vehicle
217405,Truck/SUV
218355,Truck/SUV
217673,Passenger Vehicle
217673,Passenger Vehicle
217016,Two-Wheeled
217016,Not Stated
219244,Commercial Trucks
219244,Passenger Vehicle
219207,Passenger Vehicle
219207,Passenger Vehicle
219842,Passenger Vehicle
219842,Passenger Vehicle
223403,Truck/SUV
223403,Passenger Vehicle
216939,Commercial Trucks
216939,Passenger Vehicle
218392,Passenger Vehicle
218392,Passenger Vehicle
217245,Passenger Vehicle
217245,Passenger Vehicle
217245,Passenger Vehicle
219716,Truck/SUV
219716,Passenger Vehicle
217478,Truck/SUV
222618,Truck/SUV
222618,Passenger Vehicle
216920,Two-Wheeled
216920,Not Stated
223598,Truck/SUV
223598,Buses
216796,Passenger Vehicle
216796,Passenger Vehicle
219777,Passenger Vehicle
219777,Passenger Vehicle
218341,Truck/SUV
218341,Buses
217619,Passenger Vehicle
220922,Passenger Vehicle
220181,Passenger Vehicle
222237,Buses
220181,Not Stated
216447,Passenger Vehicle
222237,Passenger Vehicle
216229,Truck/SUV
216447,Passenger Vehicle
217004,Passenger Vehicle
216229,Truck/SUV
216447,Truck/SUV
217004,Passenger Vehicle
220350,Passenger Vehicle
213412,Truck/SUV
219238,Commercial Trucks
220350,Passenger Vehicle
219238,Not Stated
220146,Truck/SUV
221181,Passenger Vehicle
213412,Passenger Vehicle
220146,Truck/SUV
221181,Passenger Vehicle
217356,Passenger Vehicle
215786,Passenger Vehicle
222772,Truck/SUV
217356,Commercial Trucks
215786,Truck/SUV
222772,Commercial Trucks
218501,Passenger Vehicle
219535,Buses
218501,Truck/SUV
219535,Passenger Vehicle
215736,Truck/SUV
213986,Truck/SUV
219535,Passenger Vehicle
215736,Passenger Vehicle
213986,Not Stated
217625,Passenger Vehicle
219626,Two-Wheeled
215000,Passenger Vehicle
217625,Passenger Vehicle
219626,Passenger Vehicle
216983,Buses
219101,Truck/SUV
215000,Passenger Vehicle
216983,Truck/SUV
219101,Passenger Vehicle
213624,Passenger Vehicle
218376,Truck/SUV
214142,Passenger Vehicle
213624,Passenger Vehicle
218376,Truck/SUV
214142,Not Stated
217345,Passenger Vehicle
219844,Passenger Vehicle
215712,Truck/SUV
219844,Passenger Vehicle
215712,Passenger Vehicle
219844,Passenger Vehicle
217345,Passenger Vehicle
214273,Truck/SUV
217958,Passenger Vehicle
214025,Buses
214273,Truck/SUV
217958,Passenger Vehicle
218296,Passenger Vehicle
214803,Passenger Vehicle
217006,Passenger Vehicle
215910,Truck/SUV
215910,Passenger Vehicle
217006,Not Stated
215279,Passenger Vehicle
214803,Truck/SUV
222766,Commercial Trucks
216598,Passenger Vehicle
214772,Truck/SUV
222766,Passenger Vehicle
216598,Truck/SUV
214772,Truck/SUV
217655,Passenger Vehicle
214377,Passenger Vehicle
219420,Passenger Vehicle
214377,Not Stated
219668,Passenger Vehicle
218288,Passenger Vehicle
216894,Two-Wheeled
218780,Commercial Trucks
219668,Passenger Vehicle
216894,Passenger Vehicle
213952,Truck/SUV
217025,Passenger Vehicle
