COLDETKEY,ST_VEH_TYPE_DESC
385506,Truck/SUV
381779,Not Stated
381779,Truck/SUV
385392,Passenger Vehicle
385392,Passenger Vehicle
385392,Passenger Vehicle
341500,Truck/SUV
341500,Not Stated
381801,Passenger Vehicle
381801,Truck/SUV
385564,Not Stated
385564,Passenger Vehicle
220280,Passenger Vehicle
220280,Truck/SUV
385404,Truck/SUV
381769,Passenger Vehicle
385378,Passenger Vehicle
385378,Truck/SUV
381773,Passenger Vehicle
381773,Passenger Vehicle
385383,Passenger Vehicle
385383,Truck/SUV
385662,Truck/SUV
385662,Truck/SUV
381776,Truck/SUV
381776,Truck/SUV
385393,Truck/SUV
385610,Passenger Vehicle
385610,Passenger Vehicle
385584,Passenger Vehicle
385584,Truck/SUV
385608,Passenger Vehicle
385608,Truck/SUV
385439,Passenger Vehicle
385439,Truck/SUV
385439,Passenger Vehicle
381774,Passenger Vehicle
385452,Commercial Trucks
385452,Passenger Vehicle
385420,Truck/SUV
385420,Passenger Vehicle
385457,Passenger Vehicle
385457,Truck/SUV
385628,Truck/SUV
385628,Commercial Trucks
381736,Passenger Vehicle
381736,Passenger Vehicle
385458,Passenger Vehicle
381728,Passenger Vehicle
381728,Passenger Vehicle
381799,Truck/SUV
385386,Passenger Vehicle
210220,Passenger Vehicle
210220,Passenger Vehicle
385619,Passenger Vehicle
385619,Truck/SUV
385448,Truck/SUV
385410,Passenger Vehicle
385410,Truck/SUV
385583,Truck/SUV
385583,Passenger Vehicle
385498,Passenger Vehicle
385498,Passenger Vehicle
381735,Truck/SUV
385585,Truck/SUV
385385,Passenger Vehicle
381758,Truck/SUV
381758,Truck/SUV
385613,Truck/SUV
385613,Passenger Vehicle
385579,Truck/SUV
385579,Truck/SUV
381824,Passenger Vehicle
381824,Commercial Trucks
385668,Not Stated
385668,Truck/SUV
385656,Passenger Vehicle
381740,Truck/SUV
381740,Truck/SUV
385418,Passenger Vehicle
385497,Passenger Vehicle
385497,Truck/SUV
385497,Truck/SUV
385406,Commercial Trucks
385406,Truck/SUV
385609,Not Stated
385609,Passenger Vehicle
385505,Not Stated
385505,Passenger Vehicle
385428,Passenger Vehicle
385428,Truck/SUV
381741,Not Stated
385637,Truck/SUV
385538,Passenger Vehicle
385538,Truck/SUV
385556,Passenger Vehicle
385556,Truck/SUV
385556,Truck/SUV
385556,Passenger Vehicle
381730,Passenger Vehicle
385411,Passenger Vehicle
385411,Truck/SUV
385496,Truck/SUV
385496,Truck/SUV
385415,Passenger Vehicle
385415,Passenger Vehicle
385617,Passenger Vehicle
385562,Truck/SUV
385562,Truck/SUV
381725,Truck/SUV
381725,Truck/SUV
381725,Passenger Vehicle
381764,Passenger Vehicle
381764,Passenger Vehicle
385634,Passenger Vehicle
385634,Truck/SUV
240540,Passenger Vehicle
240540,Passenger Vehicle
199140,Passenger Vehicle
199140,Truck/SUV
229260,Truck/SUV
229260,Not Stated
242780,Truck/SUV
242780,Truck/SUV
195300,Not Stated
195300,Truck/SUV
210120,Commercial Trucks
210120,Truck/SUV
188180,Passenger Vehicle
188180,Passenger Vehicle
239340,Passenger Vehicle
239340,Passenger Vehicle
206280,Passenger Vehicle
206280,Passenger Vehicle
330800,Truck/SUV
330800,Passenger Vehicle
190380,Truck/SUV
190380,Passenger Vehicle
237133,Truck/SUV
274140,Passenger Vehicle
274140,Passenger Vehicle
274140,Passenger Vehicle
222980,Truck/SUV
222980,Passenger Vehicle
183880,Truck/SUV
183880,Passenger Vehicle
193280,Truck/SUV
193280,Truck/SUV
213960,Truck/SUV
213960,Passenger Vehicle
217980,Truck/SUV
201940,Truck/SUV
201940,Passenger Vehicle
309180,Passenger Vehicle
309180,Truck/SUV
309180,Truck/SUV
231900,Passenger Vehicle
231900,Truck/SUV
329900,Passenger Vehicle
329900,Passenger Vehicle
